Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
211479192,Water Moon,Samantha Sotto Yambao,"Yambao, Samantha Sotto",,"=""0593724992""","=""9780593724996""",0,3.78,Del Rey,Hardcover,374,2025,2025,,2025/11/12,to-read,to-read (#53),to-read,,,,0,0
56791389,"Dungeon Crawler Carl (Dungeon Crawler Carl, #1)",Matt Dinniman,"Dinniman, Matt",,"=""""","=""""",0,4.48,Dandy House,Kindle Edition,464,2020,2020,,2025/10/24,"to-read, bros-from-the-book-club","to-read (#52), bros-from-the-book-club (#8)",to-read,,,,0,0
53447,El túnel,Ernesto Sabato,"Sabato, Ernesto",Nino Pipia,"=""9871144261""","=""9789871144266""",3,4.02,Booket,Paperback,158,2003,1948,2025/10/14,2025/10/09,bros-from-the-book-club,bros-from-the-book-club (#7),read,,,,1,0
27833670,Dark Matter,Blake Crouch,"Crouch, Blake",,"=""1101904224""","=""9781101904220""",4,4.13,Ballantine Books,Hardcover,342,2016,2016,2025/09/21,2025/09/10,bros-from-the-book-club,bros-from-the-book-club (#6),read,,,,1,0
11829140,El caballero inexistente,Italo Calvino,"Calvino, Italo",Francesc Miravitlles,"=""8402066429""","=""9788402066428""",4,3.82,Editorial Bruguera,Paperback,189,1979,1959,2025/07/10,2025/07/08,bros-from-the-book-club,bros-from-the-book-club (#5),read,,,,1,0
48484,"Blindsight (Firefall, #1)",Peter Watts,"Watts, Peter",,"=""0765312182""","=""9780765312181""",5,4.00,Tor Books,Hardcover,384,2006,2006,2025/06/29,2025/05/14,bros-from-the-book-club,bros-from-the-book-club (#4),read,,,,1,0
59968759,"Everything for Everyone: An Oral History of the New York Commune, 2052–2072",M.E. O'Brien,"O'Brien, M.E.",Eman Abdelhadi,"=""194217358X""","=""9781942173588""",2,4.04,Common Notions,Paperback,256,2022,2022,2025/04/21,2025/04/21,bros-from-the-book-club,bros-from-the-book-club (#3),read,,,,1,0
36337550,The 7 1/2 Deaths of Evelyn Hardcastle,Stuart Turton,"Turton, Stuart",,"=""""","=""""",3,3.78,Sourcebooks Landmark,Hardcover,432,2018,2018,2025/04/13,2025/04/04,bros-from-the-book-club,bros-from-the-book-club (#2),read,,,,1,0
36809135,Where the Crawdads Sing,Delia Owens,"Owens, Delia",,"=""0735219117""","=""9780735219113""",0,4.37,G.P. Putnam’s Sons,ebook,384,2018,2018,,2025/10/24,"currently-reading, bros-from-the-book-club","currently-reading (#3), bros-from-the-book-club (#1)",currently-reading,,,,1,0
7886338,The Lifecycle of Software Objects,Ted Chiang,"Chiang, Ted",,"=""1596063173""","=""9781596063174""",0,3.91,Subterranean Pr,Hardcover,150,2010,2010,,2025/10/17,to-read,to-read (#51),to-read,,,,0,0
36262251,The Redemption of Time (Remembrance of Earth’s Past),Baoshu,"Baoshu, Baoshu",Ken Liu,"=""1788542207""","=""9781788542203""",0,3.63,Head of Zeus,Hardcover,400,2019,2011,,2025/10/09,"to-read, queue","to-read (#50), queue (#11)",to-read,,,,0,0
217388097,"Monk and Robot (Monk & Robot, #1-2)",Becky Chambers,"Chambers, Becky",,"=""1250386330""","=""9781250386335""",0,4.27,Tordotcom,Paperback,304,2025,2025,,2025/10/09,"to-read, queue","to-read (#49), queue (#10)",to-read,,,,0,0
54227467,The End of Eternity,Isaac Asimov,"Asimov, Isaac",,"=""0593160029""","=""9780593160022""",0,4.24,Del Rey,Paperback,221,2020,1955,,2025/10/09,"to-read, queue","to-read (#48), queue (#8)",to-read,,,,0,0
13614215,El Perseguidor (ilustrado),Julio Cortázar,"Cortázar, Julio",,"=""""","=""""",0,4.16,,Unknown Binding,,,1958,,2025/10/09,"to-read, queue","to-read (#47), queue (#7)",to-read,,,,0,0
231517013,Todos los fines del mundo,Andrea Chapela,"Chapela, Andrea",,"=""6073857454""","=""9786073857451""",0,3.79,Penguin Random House Grupo Editorial,Paperback,320,2025,,,2025/10/09,"to-read, queue","to-read (#46), queue (#6)",to-read,,,,0,0
11289,"The Rise of Endymion (Hyperion Cantos, #4)",Dan Simmons,"Simmons, Dan",,"=""0553572989""","=""9780553572988""",0,4.17,Spectra,Mass Market Paperback,709,1998,1997,,2025/10/09,"to-read, queue","to-read (#45), queue (#5)",to-read,,,,0,0
3977,"Endymion (Hyperion Cantos, #3)",Dan Simmons,"Simmons, Dan",Gary Ruddell,"=""0553572946""","=""9780553572940""",0,4.19,Bantam Spectra,Mass Market Paperback,563,1996,1996,,2025/10/09,"to-read, queue","to-read (#44), queue (#4)",to-read,,,,0,0
