Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
828878,The Complete Chronicles of Conan,Robert E. Howard,"Howard, Robert E.","Stephen              Jones, Les Edwards","=""0575077662""","=""9780575077669""",0,4.31,Gollancz,Hardcover,927,2009,1936,,2023/07/13,to-read,to-read (#43),to-read,,,,0,0
6752712,Viaje al Oeste: Las aventuras del Rey Mono,Wu Cheng'en,"Cheng'en, Wu",,"=""""","=""9788478447749""",0,4.34,Ediciones Siruela,Hardcover,2264,2004,1592,,2023/07/13,to-read,to-read (#42),to-read,,,,0,0
223263,Rojo y negro,Stendhal,"Stendhal, Stendhal",Consuelo Berges,"=""8420637386""","=""9788420637389""",0,3.86,Alianza Editorial,Paperback,696,2004,1830,,2023/07/13,to-read,to-read (#41),to-read,,,,0,0
417648,Libro de sueños,Jorge Luis Borges,"Borges, Jorge Luis",,"=""8420638692""","=""9788420638690""",0,3.81,Alianza Editorial,Paperback,252,1999,1976,,2023/07/12,to-read,to-read (#40),to-read,,,,0,0
43690034,Poemas escogidos (Spanish Edition),Federico García Lorca,"Lorca, Federico García",,"=""""","=""""",4,3.64,Biblioteca Nacional de España,Kindle Edition,50,2019,,2023/07/11,2023/07/11,poesía,poesía (#15),read,,,,1,0
26029208,La isla del tesoro,Robert Louis Stevenson,"Stevenson, Robert Louis",Jordi Beltrán Ferrer,"=""8491050884""","=""9788491050889""",5,3.85,Penguin Clásicos,Mass Market Paperback,360,2015,1882,2023/07/11,2023/07/09,novelas,novelas (#58),read,,,,1,0
251664,Los reyes,Julio Cortázar,"Cortázar, Julio",,"=""9505112300""","=""9789505112302""",5,3.90,Alfaguara,Paperback,88,1993,1949,2023/07/09,2023/07/09,"mitología, poesía","mitología (#45), poesía (#14)",read,,,,1,0
78249,Don Juan,Lord Byron,"Byron, Lord","Susan J. Wolfson, Truman Guy Steffan, Peter J. Manning","=""0140424520""","=""9780140424522""",5,3.78,Penguin Classics,Paperback,759,2005,1819,2023/07/06,2022/07/26,poesía,poesía (#12),read,,,,1,0
25748174,Beowulf: Traducción y comentario,Unknown,"Unknown, Unknown","J.R.R. Tolkien, Christopher Tolkien","=""8445002600""","=""9788445002605""",5,3.90,Minotauro,Hardcover,384,2015,2014,2023/07/05,2023/07/01,"epopeyas, mitología, poesía","epopeyas (#11), mitología (#44), poesía (#13)",read,,,,1,0
61229000,Alice's Adventures in Wonderland : ( Amazon Classics Edition ) ...,Lewis Carroll,"Carroll, Lewis",,"=""""","=""""",5,3.99,,Kindle Edition,,2022,1865,2023/06/29,2023/06/29,novelas,novelas (#57),read,,,,1,0
14887686,El capote,Nikolai Gogol,"Gogol, Nikolai","Víctor Gallego Ballestero, Noemí Villamuza","=""8492683392""","=""9788492683390""",5,4.14,N rdica Libros,Mass Market Paperback,104,2011,1842,2023/06/29,2023/06/28,"cuentos, literatura-rusa","cuentos (#23), literatura-rusa (#15)",read,,,,1,0
8971690,"Más Allá del Bien y del Mal. Genealogía de la Moral. (Sepan Cuantos, #430)",Friedrich Nietzsche,"Nietzsche, Friedrich",,"=""970074325X""","=""9789700743257""",5,4.16,Porrua,Paperback,341,2009,1887,2020/04/16,2020/03/06,filosofía,filosofía (#10),read,,,,1,0
34935704,Bhagavad Gītā: con los comentarios advaita de Šankara,Consuelo Martín,"Martín, Consuelo",,"=""8498796776""","=""9788498796773""",5,4.53,Trotta,Hardcover,328,2017,1997,2023/06/15,2023/06/12,"favoritos, filosofía, mitología, oriental, poesía","favoritos (#30), filosofía (#78), mitología (#42), oriental (#10), poesía (#11)",read,,,,1,0
10237111,Rig Veda,Juan Miguel de Mora,"Mora, Juan Miguel de",Ludwika Jarocka,"=""6074552134""","=""9786074552133""",5,4.43,CONACULTA,Paperback,310,2010,1989,2023/06/07,2023/05/27,"mitología, poesía, oriental","mitología (#41), poesía (#10), oriental (#9)",read,,,,1,0
5530954,"El mundo como voluntad y representación, II:  complementos",Arthur Schopenhauer,"Schopenhauer, Arthur",,"=""8481646660""","=""9788481646665""",5,4.26,Editorial Trotta,Paperback,752,2005,1844,2023/06/04,2022/05/12,"filosofía, schopenhueriano, favoritos","filosofía (#77), schopenhueriano (#7), favoritos (#29)",read,,,,1,0
3119332,Siete noches,Jorge Luis Borges,"Borges, Jorge Luis",Roy Bartholomew,"=""9681664094""","=""9789681664091""",5,4.30,Fondo de Cultura Económica USA,Paperback,171,2007,1977,2023/05/14,2023/05/10,borgiano,borgiano (#6),read,,,,1,0
